variant,precision,opt,fastmath,riemann,solver,case,nx,ny,t_end,finite,rc,steps,divB_max,walltime_s,is_reference,L1_rho,L2_rho,Linf_rho,L1_By,L2_By,Linf_By,L1_p,L2_p,Linf_p,L1_vx,L2_vx,Linf_vx
cpu-double-O2-ieee-leq,double,O2,False,leq,hlld,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.004228,38.75495139998384,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu-double-O2-ieee-strict,double,O2,False,strict,hlld,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.004228,38.3866894999519,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu-double-O2-fastmath-leq,double,O2,True,leq,hlld,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.004228,37.8795095999958,False,3.1404002662216435e-13,2.496666964540858e-14,9.992007221626409e-15,3.213675640506592e-14,2.599099589126245e-15,1.3912482277333993e-15,9.800320277530972e-14,7.830147470360306e-15,2.3314683517128287e-15,1.0986460782046877e-13,8.667899592534965e-15,2.4424906541753444e-15
cpu-double-O2-fastmath-strict,double,O2,True,strict,hlld,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.004228,37.92344480007887,False,3.1404002662216435e-13,2.496666964540858e-14,9.992007221626409e-15,3.213675640506592e-14,2.599099589126245e-15,1.3912482277333993e-15,9.800320277530972e-14,7.830147470360306e-15,2.3314683517128287e-15,1.0986460782046877e-13,8.667899592534965e-15,2.4424906541753444e-15
cpu-double-O3-ieee-leq,double,O3,False,leq,hlld,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.004228,38.664141300017945,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu-double-O3-ieee-strict,double,O3,False,strict,hlld,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.004228,38.646462699980475,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu-double-O3-fastmath-leq,double,O3,True,leq,hlld,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.004228,38.796375400037505,False,3.1404002662216435e-13,2.496666964540858e-14,9.992007221626409e-15,3.213675640506592e-14,2.599099589126245e-15,1.3912482277333993e-15,9.800320277530972e-14,7.830147470360306e-15,2.3314683517128287e-15,1.0986460782046877e-13,8.667899592534965e-15,2.4424906541753444e-15
cpu-double-O3-fastmath-strict,double,O3,True,strict,hlld,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.004228,38.881671100039966,False,3.1404002662216435e-13,2.496666964540858e-14,9.992007221626409e-15,3.213675640506592e-14,2.599099589126245e-15,1.3912482277333993e-15,9.800320277530972e-14,7.830147470360306e-15,2.3314683517128287e-15,1.0986460782046877e-13,8.667899592534965e-15,2.4424906541753444e-15
cpu-double-Ofast-ieee-leq,double,Ofast,False,leq,hlld,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.004228,38.91779320000205,False,3.1404002662216435e-13,2.496666964540858e-14,9.992007221626409e-15,3.213675640506592e-14,2.599099589126245e-15,1.3912482277333993e-15,9.800320277530972e-14,7.830147470360306e-15,2.3314683517128287e-15,1.0986460782046877e-13,8.667899592534965e-15,2.4424906541753444e-15
cpu-double-Ofast-ieee-strict,double,Ofast,False,strict,hlld,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.004228,38.81579990009777,False,3.1404002662216435e-13,2.496666964540858e-14,9.992007221626409e-15,3.213675640506592e-14,2.599099589126245e-15,1.3912482277333993e-15,9.800320277530972e-14,7.830147470360306e-15,2.3314683517128287e-15,1.0986460782046877e-13,8.667899592534965e-15,2.4424906541753444e-15
cpu-double-Ofast-fastmath-leq,double,Ofast,True,leq,hlld,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.004228,38.52148779993877,False,3.1404002662216435e-13,2.496666964540858e-14,9.992007221626409e-15,3.213675640506592e-14,2.599099589126245e-15,1.3912482277333993e-15,9.800320277530972e-14,7.830147470360306e-15,2.3314683517128287e-15,1.0986460782046877e-13,8.667899592534965e-15,2.4424906541753444e-15
cpu-double-Ofast-fastmath-strict,double,Ofast,True,strict,hlld,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.004228,37.93045380001422,False,3.1404002662216435e-13,2.496666964540858e-14,9.992007221626409e-15,3.213675640506592e-14,2.599099589126245e-15,1.3912482277333993e-15,9.800320277530972e-14,7.830147470360306e-15,2.3314683517128287e-15,1.0986460782046877e-13,8.667899592534965e-15,2.4424906541753444e-15
cpu-float-O2-ieee-leq,float,O2,False,leq,hlld,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.004233,33.555828999960795,False,0.0001343361668474101,1.0602920386214795e-05,3.230009836041603e-06,1.7592260008656468e-05,1.4245748476594893e-06,5.035195018315321e-07,4.690600518537664e-05,3.6701307322417537e-06,1.1677593083625482e-06,5.927333736205363e-05,5.11708782912089e-06,2.6224375587191595e-06
cpu-float-O2-ieee-strict,float,O2,False,strict,hlld,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.004236,33.882646600017324,False,0.00013338604977472307,1.0544757934158418e-05,3.6770318065926233e-06,1.72840357163975e-05,1.3947339802158856e-06,5.484719582853417e-07,4.650236962270649e-05,3.6518196102551294e-06,9.781899477090406e-07,5.91837956596691e-05,5.1259668195893195e-06,2.6589036864477222e-06
cpu-float-O2-fastmath-leq,float,O2,True,leq,hlld,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.004237,36.79119640006684,False,0.0001345448042801389,1.0662481523909558e-05,3.829414510603257e-06,1.7397791812694615e-05,1.3851940548509534e-06,5.235450889671221e-07,4.532848964133602e-05,3.547989342821681e-06,8.841067261622371e-07,5.895459370197699e-05,5.098022557215608e-06,2.6747069964971892e-06
cpu-float-O2-fastmath-strict,float,O2,True,strict,hlld,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.004232,36.06437019992154,False,0.0001342137550608669,1.0602458178965387e-05,4.322403796441776e-06,1.773708849482629e-05,1.423786025049794e-06,5.091189389477661e-07,4.532774394905336e-05,3.5578873118530567e-06,9.26720415628246e-07,5.904862716173542e-05,5.097621461728328e-06,2.5046626305202935e-06
cpu-float-O3-ieee-leq,float,O3,False,leq,hlld,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.004233,36.07372119999491,False,0.0001343361668474101,1.0602920386214795e-05,3.230009836041603e-06,1.7592260008656468e-05,1.4245748476594893e-06,5.035195018315321e-07,4.690600518537664e-05,3.6701307322417537e-06,1.1677593083625482e-06,5.927333736205363e-05,5.11708782912089e-06,2.6224375587191595e-06
cpu-float-O3-ieee-strict,float,O3,False,strict,hlld,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.004236,37.11634059995413,False,0.00013338604977472307,1.0544757934158418e-05,3.6770318065926233e-06,1.72840357163975e-05,1.3947339802158856e-06,5.484719582853417e-07,4.650236962270649e-05,3.6518196102551294e-06,9.781899477090406e-07,5.91837956596691e-05,5.1259668195893195e-06,2.6589036864477222e-06
